ipo_name,date,text
Dodla Dairy,28-06-21,"IPO Name: Dodla Dairy
Date Opened: 28-06-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 84.88
HNI subscription: 73.26
RII subscription: 11.34
CMP (BSE): 
Current Gains: "
Shyam Metalics,24-06-21,"IPO Name: Shyam Metalics
Date Opened: 24-06-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 62.18
HNI subscription: 172.51
RII subscription: 5.29
CMP (BSE): 
Current Gains: "
Sona BLW,24-06-21,"IPO Name: Sona BLW
Date Opened: 24-06-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.57
HNI subscription: 0.22
RII subscription: 0.66
CMP (BSE): 
Current Gains: "
PowerGrid InvIT,14-05-21,"IPO Name: PowerGrid InvIT
Date Opened: 14-05-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.0
HNI subscription: 0.0
RII subscription: 0.0
CMP (BSE): 
Current Gains: "
Macrotech Dev,19-04-21,"IPO Name: Macrotech Dev
Date Opened: 19-04-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 3.05
HNI subscription: 1.44
RII subscription: 0.4
CMP (BSE): 
Current Gains: "
Barbeque Nat,07-04-21,"IPO Name: Barbeque Nat
Date Opened: 07-04-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.0
HNI subscription: 0.0
RII subscription: 0.0
CMP (BSE): 
Current Gains: "
Nazara,30-03-21,"IPO Name: Nazara
Date Opened: 30-03-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 52.82
HNI subscription: 148.42
RII subscription: 34.49
CMP (BSE): 
Current Gains: "
Suryoday Small,26-03-21,"IPO Name: Suryoday Small
Date Opened: 26-03-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 2.18
HNI subscription: 1.31
RII subscription: 3.09
CMP (BSE): 
Current Gains: "
Kalyan Jeweller,26-03-21,"IPO Name: Kalyan Jeweller
Date Opened: 26-03-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.18
HNI subscription: 0.97
RII subscription: 1.47
CMP (BSE): 
Current Gains: "
Laxmi Organic,25-03-21,"IPO Name: Laxmi Organic
Date Opened: 25-03-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 1.13
HNI subscription: 0.73
RII subscription: 4.41
CMP (BSE): 
Current Gains: "
Craftsman,25-03-21,"IPO Name: Craftsman
Date Opened: 25-03-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.56
HNI subscription: 0.05
RII subscription: 1.04
CMP (BSE): 
Current Gains: "
Anupam Rasayan,24-03-21,"IPO Name: Anupam Rasayan
Date Opened: 24-03-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 30.8
HNI subscription: 62.06
RII subscription: 4.62
CMP (BSE): 
Current Gains: "
Easy Trip,19-03-21,"IPO Name: Easy Trip
Date Opened: 19-03-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.0
HNI subscription: 2.79
RII subscription: 14.48
CMP (BSE): 
Current Gains: "
MTAR Tech,15-03-21,"IPO Name: MTAR Tech
Date Opened: 15-03-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 52.01
HNI subscription: 522.35
RII subscription: 12.78
CMP (BSE): 
Current Gains: "
Heranba,05-03-21,"IPO Name: Heranba
Date Opened: 05-03-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 25.98
HNI subscription: 108.72
RII subscription: 4.82
CMP (BSE): 
Current Gains: "
Railtel,26-02-21,"IPO Name: Railtel
Date Opened: 26-02-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 22.03
HNI subscription: 51.4
RII subscription: 7.08
CMP (BSE): 
Current Gains: "
Nureca,25-02-21,"IPO Name: Nureca
Date Opened: 25-02-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.24
HNI subscription: 17.1
RII subscription: 74.29
CMP (BSE): 
Current Gains: "
Stove Kraft,05-02-21,"IPO Name: Stove Kraft
Date Opened: 05-02-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 8.02
HNI subscription: 32.72
RII subscription: 26.04
CMP (BSE): 
Current Gains: "
Home First,03-02-21,"IPO Name: Home First
Date Opened: 03-02-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 52.53
HNI subscription: 39.0
RII subscription: 6.59
CMP (BSE): 
Current Gains: "
Indigo Paints,02-02-21,"IPO Name: Indigo Paints
Date Opened: 02-02-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 96.21
HNI subscription: 115.76
RII subscription: 6.5
CMP (BSE): 
Current Gains: "
IRFC,29-01-21,"IPO Name: IRFC
Date Opened: 29-01-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.89
HNI subscription: 0.52
RII subscription: 1.59
CMP (BSE): 
Current Gains: "
Antony Waste,01-01-21,"IPO Name: Antony Waste
Date Opened: 01-01-21
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 0.64
HNI subscription: 0.28
RII subscription: 7.22
CMP (BSE): 
Current Gains: "
Bectors Food,24-12-20,"IPO Name: Bectors Food
Date Opened: 24-12-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 176.85
HNI subscription: 620.86
RII subscription: 29.33
CMP (BSE): 
Current Gains: "
Restaurant Bran,14-12-20,"IPO Name: Restaurant Bran
Date Opened: 14-12-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 86.64
HNI subscription: 354.11
RII subscription: 68.15
CMP (BSE): 
Current Gains: "
Gland,20-11-20,"IPO Name: Gland
Date Opened: 20-11-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 6.4
HNI subscription: 0.51
RII subscription: 0.24
CMP (BSE): 
Current Gains: "
Equitas Bank,02-11-20,"IPO Name: Equitas Bank
Date Opened: 02-11-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 3.91
HNI subscription: 0.22
RII subscription: 2.08
CMP (BSE): 
Current Gains: "
UTI AMC,12-10-20,"IPO Name: UTI AMC
Date Opened: 12-10-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 3.34
HNI subscription: 0.93
RII subscription: 2.32
CMP (BSE): 
Current Gains: "
Mazagon Dock,12-10-20,"IPO Name: Mazagon Dock
Date Opened: 12-10-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 89.71
HNI subscription: 678.88
RII subscription: 35.63
CMP (BSE): 
Current Gains: "
Angel One,05-10-20,"IPO Name: Angel One
Date Opened: 05-10-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 5.74
HNI subscription: 0.69
RII subscription: 4.31
CMP (BSE): 
Current Gains: "
CAMS,01-10-20,"IPO Name: CAMS
Date Opened: 01-10-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 73.18
HNI subscription: 111.85
RII subscription: 5.55
CMP (BSE): 
Current Gains: "
Chemcon Special,01-10-20,"IPO Name: Chemcon Special
Date Opened: 01-10-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 113.54
HNI subscription: 449.14
RII subscription: 41.21
CMP (BSE): 
Current Gains: "
Route,21-09-20,"IPO Name: Route
Date Opened: 21-09-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 89.76
HNI subscription: 192.81
RII subscription: 12.67
CMP (BSE): 
Current Gains: "
Happiest Minds ,17-09-20,"IPO Name: Happiest Minds 
Date Opened: 17-09-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 77.43
HNI subscription: 351.46
RII subscription: 70.94
CMP (BSE): 
Current Gains: "
Rossari,23-07-20,"IPO Name: Rossari
Date Opened: 23-07-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 2.75
HNI subscription: 4.34
RII subscription: 2.51
CMP (BSE): 
Current Gains: "
SBI Card,16-03-20,"IPO Name: SBI Card
Date Opened: 16-03-20
Issue Size (crores): 
Offer Price: 
List Price: 
Listing Gain: 
QIB subscription: 57.18
HNI subscription: 45.23
RII subscription: 2.5
CMP (BSE): 
Current Gains: "
